,date_day,repo_id,repo_name,count_stars
450,2018-03-01,53548867,dbt-labs/dbt-core,14
451,2018-04-01,53548867,dbt-labs/dbt-core,21
452,2018-05-01,53548867,dbt-labs/dbt-core,24
453,2018-06-01,53548867,dbt-labs/dbt-core,12
454,2018-07-01,53548867,dbt-labs/dbt-core,23
455,2018-08-01,53548867,dbt-labs/dbt-core,104
456,2018-09-01,53548867,dbt-labs/dbt-core,36
457,2018-10-01,53548867,dbt-labs/dbt-core,34
458,2018-11-01,53548867,dbt-labs/dbt-core,47
459,2018-12-01,53548867,dbt-labs/dbt-core,30
460,2019-01-01,53548867,dbt-labs/dbt-core,54
461,2019-02-01,53548867,dbt-labs/dbt-core,33
462,2019-03-01,53548867,dbt-labs/dbt-core,34
463,2019-04-01,53548867,dbt-labs/dbt-core,34
464,2019-05-01,53548867,dbt-labs/dbt-core,52
465,2019-06-01,53548867,dbt-labs/dbt-core,92
466,2019-07-01,53548867,dbt-labs/dbt-core,73
467,2019-08-01,53548867,dbt-labs/dbt-core,59
468,2019-09-01,53548867,dbt-labs/dbt-core,91
469,2019-10-01,53548867,dbt-labs/dbt-core,51
470,2019-11-01,53548867,dbt-labs/dbt-core,64
471,2019-12-01,53548867,dbt-labs/dbt-core,57
472,2020-01-01,53548867,dbt-labs/dbt-core,72
473,2011-02-01,206444,hive,3
474,2011-03-01,206444,hive,4
475,2011-04-01,206444,hive,6
476,2011-05-01,206444,hive,3
477,2011-06-01,206444,hive,1
478,2011-07-01,206444,hive,6
479,2011-08-01,206444,hive,9
480,2011-09-01,206444,hive,9
481,2011-10-01,206444,hive,5
482,2011-11-01,206444,hive,3
483,2011-12-01,206444,hive,8
484,2012-01-01,206444,hive,6
485,2012-02-01,206444,hive,8
486,2012-03-01,206444,hive,6
487,2012-09-01,206444,hive,1
488,2012-10-01,206444,hive,9
489,2012-11-01,206444,hive,9
490,2012-12-01,206444,hive,10
491,2013-01-01,206444,hive,8
492,2013-02-01,206444,hive,5
493,2013-03-01,206444,hive,13
494,2013-04-01,206444,hive,14
495,2013-05-01,206444,hive,15
496,2013-06-01,206444,hive,14
497,2013-07-01,206444,hive,9
498,2013-08-01,206444,hive,6
499,2013-09-01,206444,hive,13
500,2013-10-01,206444,hive,16
501,2013-11-01,206444,hive,22
502,2013-12-01,206444,hive,10
503,2014-01-01,206444,hive,11
504,2014-02-01,206444,hive,10
505,2014-03-01,206444,hive,17
506,2014-04-01,206444,hive,19
507,2014-05-01,206444,hive,18
508,2014-06-01,206444,hive,14
509,2014-07-01,206444,hive,16
510,2014-08-01,206444,hive,10
511,2014-09-01,206444,hive,21
512,2014-10-01,206444,hive,18
513,2014-11-01,206444,hive,13
514,2014-12-01,206444,hive,15
515,2015-01-01,206444,hive,16
516,2015-02-01,206444,hive,20
517,2015-03-01,206444,hive,23
518,2015-04-01,206444,hive,40
519,2015-05-01,206444,hive,29
520,2015-06-01,206444,hive,22
521,2015-07-01,206444,hive,31
522,2015-08-01,206444,hive,22
523,2015-09-01,206444,hive,26
524,2015-10-01,206444,hive,30
525,2015-11-01,206444,hive,28
526,2015-12-01,206444,hive,41
527,2016-01-01,206444,hive,29
528,2016-02-01,206444,hive,30
529,2016-03-01,206444,hive,35
